1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	5	5
1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	5	5	5	5	5	5	5
1	0	0	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	5	5	5	5	5	5	5
1	0	0	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	5	5	5	5	5	5	5
1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	5	5	5	5	5	5	5
1	0	0	2	1	1	1	2	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	2	1	5	5	5	5	5	5	5
1	0	0	2	1	1	1	2	1	1	1	1	1	1	1	2	0	4	4	4	4	4	0	2	1	5	5	5	5	5	5	5
1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	4	4	4	4	4	0	2	1	5	5	5	5	5	5	5
1	0	0	2	1	1	1	1	1	1	1	2	1	1	1	2	0	4	4	4	4	4	0	2	1	5	5	5	5	5	5	5
1	0	0	2	1	1	1	1	1	1	1	2	1	1	1	2	0	0	0	0	0	0	0	2	1	5	5	5	5	5	5	5
1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	5	5	5	5	5	5	5
1	0	0	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	6	7	7	7	7	7	8
1	0	0	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	9	14	14	14	14	14	10
1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	9	14	14	14	14	14	10
1	0	0	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	9	14	14	14	14	14	10
1	0	0	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	9	14	14	14	14	14	10
1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	9	14	14	14	14	14	10
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	12	12	12	12	12	13

